Voie_ID,Nom_x,Distance (km),% Couverture correspondant (200m),Groupes nature voie,Énergie produite annuelle (kWh / m2 de panneau),Production pour 860m2 de panneau (kWh),SolarScore,latlon,Département,Région,temp_mean_c,sunshine_duration_mean_hour,ghi_mean_W_m2,Revenus annuels revente Enedis €,nbre annuel de charges velos,Eclairage urbain en Nbre lapamdaires alimentés/an,Equivalent conso annuelle en nbr de personnes,nbre annuel charges un BlueBus,nbre annuel km/BlueBus _12m
36,V75 - Véloroute Montluçon - Diou / Voie Verte de Dompierre-sur-Besbre à Diou,7.8,2.56,Voie verte,77.43,66590,D,"(46.519282, 3.684874)",Allier,Auvergne-Rhône-Alpes,12.0,8.0,145.0,8657,133180,333,30,245,55084
37,"V16 / V32 / V33 - V16 / V32 / V33 / Voie verte du canal de Saint-Denis, de St-Denis à La Villette",7.8,2.56,Bord de rivière ou canal,64.53,55496,E,"(48.882991, 2.346702)",Paris,Ile-de-Frane,12.0,7.0,128.0,7214,110992,277,25,204,45907
38,Voie Verte Cahors - Arcambal (V86/V87),8.3,2.41,Voie verte,86.24,74166,C,"(44.44703754596179, 1.4469291442436)",Lot,Occitanie,14.0,8.0,155.0,9642,148332,371,33,273,61351
39,Voie Verte de Vendays-Montalivet à Montalivet-les-Bains,8.3,2.41,Bord de sentier,89.28,76781,C,"(45.354773, -1.145218)",Gironde,Nouvelle-Aquitaine,14.0,8.0,157.0,9982,153562,384,35,282,63514
40,Piste cyclable Auch-Aubiet,8.3,2.41,Piste cyclable,85.3,73358,C,"(43.647942223527, 0.6310274259806897)",Gers,Occitanie,14.0,8.0,158.0,9537,146716,367,33,270,60682
41,Liaison Krautergersheim - Rosheim,8.4,2.38,Bord de route,73.12,62883,D,"(48.494625000000006, 7.478307)",Bas-Rhin,Grand Est,12.0,7.0,137.0,8175,125766,314,28,231,52017
42,Voie Verte de la vallée de l'Hers,8.4,2.38,Bord de sentier,88.97,76514,C,"(43.573124, 1.466841)",Haute-Garonne,Occitanie,14.0,8.0,160.0,9947,153028,383,34,281,63293
43,V32 - Lille - Paris / Trans'Oise de Therdonne à Hermes,8.6,2.33,Voie verte,64.51,55479,E,"(49.36792, 2.161544)",Oise,Hauts-de-France,12.0,7.0,128.0,7212,110958,277,25,204,45893
44,Liaison cyclable Belfort - Malsaucy,8.6,2.33,Bord de sentier,74.05,63683,D,"(47.628621999999986, 6.812392)",Territoire-de-Belfort,Bourgogne-Franche-Comté,11.0,7.0,139.0,8279,127366,318,29,234,52679
45,Voie Verte en Villeneuvois (V86),8.8,2.27,Bord de voie ferrée,85.63,73642,C,"(44.400717, 0.631209)",Lot-et-Garonne,Nouvelle-Aquitaine,14.0,8.0,155.0,9573,147284,368,33,271,60917
46,Voie Verte de Paladru,9.0,2.22,Voie verte,89.3,76798,C,"(45.42637, 5.513919)",Isère,Auvergne-Rhône-Alpes,11.0,8.0,156.0,9984,153596,384,35,282,63528
47,V830 - Voie Verte de Sète à Balaruc-le-Vieux,9.0,2.22,Bord de voie ferrée,109.35,94041,B,"(43.406893366815396, 3.68301694668896)",Hérault,Occitanie,16.0,9.0,177.0,12225,188082,470,42,346,77791
48,Voie Verte de la Haute Meurthe,9.1,2.2,Bord de voie ferrée,71.89,61825,D,"(48.17436669276569, 6.939822)",Vosges,Grand Est,11.0,7.0,136.0,8037,123650,309,28,227,51142
49,Voie Verte de Strasbourg à La Wantzenau,9.2,2.17,Bord de sentier,74.63,64182,D,"(48.59104299999999, 7.782273999999999)",Bas-Rhin,Grand Est,12.0,7.0,137.0,8344,128364,321,29,236,53092
50,"EV3 - Scandibérique / Trans'Oise, de Compiègne à Lacroix-St-Ouen",9.3,2.15,Voie verte,63.89,54945,E,"(49.352816, 2.765481)",Oise,Hauts-de-France,12.0,7.0,128.0,7143,109890,275,25,202,45451
51,"Piste cyclable de l'ARC, de la Clairière de l'Armistice à Compiègne",9.5,2.11,Bord de rivière ou canal,63.28,54421,E,"(49.418149, 2.823698)",Oise,Hauts-de-France,12.0,7.0,128.0,7075,108842,272,24,200,45017
