Unnamed: 0,Nom,Lien,Début,Fin,Distance,Type voie,Nature voie,Revêtement,Carte,Coordonnées de début,Coordonnées de fin,Coordonnées milieu,Énergie produite annuelle (kWh / m2 de panneau)
22,EV3 - La Scandibérique  / V56,https://www.af3v.org/les-voies-vertes/voies/756-ev3-la-scandiberique-v56-voie-verte-le-nizan-la-gare-bazas-d809,LE NIZAN,BAZAS,"6,8km",Voie verte lisse,Ancienne voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-0.292061,44.440643,-0.218711,44.462573999999975&crs=EPSG:4326","('-0.292061', '44.440643')","('-0.218711', '44.462573999999975')","(-0.255386, 44.45160849999999)",274.29
23,EV1 - Voie Verte Le Chemin de la Baie à Hendaye (EV1 Vélodyssée),https://www.af3v.org/les-voies-vertes/voies/428-voie-verte-le-chemin-de-la-baie-a-hendaye-ev1-velodyssee,HENDAYE,URRUGNE,"6,8km",Voie verte lisse,Voie en site propre,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-1.786174,43.34261699999999,-1.761155,43.370579&crs=EPSG:4326","('-1.786174', '43.34261699999999')","('-1.761155', '43.370579')","(-1.7736645, 43.35659799999999)",271.85
24,V 3004 - Voie Verte de l'Espiguette,https://www.af3v.org/les-voies-vertes/voies/388-voie-verte-de-l-espiguette,LE GRAU DU ROI,LE GRAU DU ROI,"7,0km",Voie verte lisse,Voie verte,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=4.138128,43.487409,4.15040579996676,43.53814164771771&crs=EPSG:4326","('4.138128', '43.487409')","('4.15040579996676', '43.53814164771771')","(4.14426689998338, 43.512775323858854)",254.22
25,Voie Verte de Seignosse-Océan à Tosse,https://www.af3v.org/les-voies-vertes/voies/528-voie-verte-de-seignosse-ocean-a-tosse,SEIGNOSSE,TOSSE,"7,0km",Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-1.417751,43.687478,-1.342432,43.706314&crs=EPSG:4326","('-1.417751', '43.687478')","('-1.342432', '43.706314')","(-1.3800915, 43.696895999999995)",271.26
26,Voie Verte de la vallée de la Bièvre,https://www.af3v.org/les-voies-vertes/voies/117-voie-verte-de-la-vallee-de-la-bievre,HESSE,TROISFONTAINES,"7,1km",Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.051851999999999,48.669861,7.119511,48.694402&crs=EPSG:4326","('7.051851999999999', '48.669861')","('7.119511', '48.694402')","(7.0856815, 48.6821315)",255.76
27,Voie verte de la Leysse et des Planeurs,https://www.af3v.org/les-voies-vertes/voies/535-voie-verte-de-la-leysse-et-des-planeurs,CHAMBERY,CHALLES LES EAUX,"7,1km",Voie verte lisse,Français,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=5.933481,45.552953,5.984904,45.577125&crs=EPSG:4326","('5.933481', '45.552953')","('5.984904', '45.577125')","(5.9591925, 45.565039)",251.18
28,Voie Verte de Saint-Julien-en-Born à Contis-Plage,https://www.af3v.org/les-voies-vertes/voies/264-voie-verte-de-saint-julien-en-born-a-contis-plage,ST JULIEN EN BORN,ST JULIEN EN BORN,"7,3km",Voie verte lisse,Sentier,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-1.310163,44.06753,-1.229546,44.086722&crs=EPSG:4326","('-1.310163', '44.06753')","('-1.229546', '44.086722')","(-1.2698545, 44.077126)",272.47
29,Itinéraire des Berges de la Rosselle,https://www.af3v.org/les-voies-vertes/voies/982-itineraire-des-berges-de-la-rosselle,COCHEREN,MORSBACH,"7,3km",Voie verte lisse,voie sur berge,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.811136000456683,49.141146608703295,6.8586618093728,49.17292618821399&crs=EPSG:4326","('6.811136000456683', '49.141146608703295')","('6.8586618093728', '49.17292618821399')","(6.834898904914741, 49.157036398458644)",263.96
30,Voie Verte Sarreguemines-Bliesbruck,https://www.af3v.org/les-voies-vertes/voies/207-voie-verte-sarreguemines-bliesbruck,SARREGUEMINES,BLIESBRUCK,"7,4km",Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.121241,49.112816,7.190219,49.135522&crs=EPSG:4326","('7.121241', '49.112816')","('7.190219', '49.135522')","(7.15573, 49.124169)",255.12
31,Voie Verte Boucle de la Moselle tronçon 3,https://www.af3v.org/les-voies-vertes/voies/31-voie-verte-boucle-de-la-moselle-troncon-3,VILLEY LE SEC,MARON,"7,5km",Voie verte lisse,Sentier,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=5.974178,48.635404,6.041772,48.661704&crs=EPSG:4326","('5.974178', '48.635404')","('6.041772', '48.661704')","(6.007975, 48.648554000000004)",256.97
