Unnamed: 0,Nom,Lien,Début,Fin,Distance,Type voie,Nature voie,Revêtement,Carte,Coordonnées de début,Coordonnées de fin,Coordonnées milieu,Énergie produite annuelle (kWh / m2 de panneau)
105,"EV3 / V41 - EV3 : la Scandibérique / V41 : St-Jacques à vélo via Chartres, de Hostens à St-Symphorien",https://www.af3v.org/les-voies-vertes/voies/753-ev3-la-scandiberique-v41-st-jacques-a-velo-via-chartres-de-hostens-a-st-symphorien,HOSTENS,ST SYMPHORIEN,"16,5km",Voie verte lisse,Ancienne voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-0.655152,44.42868671908339,-0.480478,44.493061999999995&crs=EPSG:4326","('-0.655152', '44.42868671908339')","('-0.480478', '44.493061999999995')","(-0.567815, 44.46087435954169)",273.98
106,"V43 - La Vélo Francette, de Ouistreham à Caen / Voie Verte Caen - Ouistreham",https://www.af3v.org/les-voies-vertes/voies/90-v43-la-velo-francette-de-ouistreham-a-caen-voie-verte-caen-ouistreham,CAEN,COLLEVILLE MONTGOMERY,"16,5km",Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-0.35327003869016155,49.178182702756104,-0.249301,49.289088&crs=EPSG:4326","('-0.35327003869016155', '49.178182702756104')","('-0.249301', '49.289088')","(-0.30128551934508074, 49.233635351378055)",271.87
107,"V409 - La Régalante, de Teillay à Chateaubriant / Voie Verte de Châteaubriant à Rougé",https://www.af3v.org/les-voies-vertes/voies/165-la-regalante-de-teillay-a-chateaubriant-voie-verte-de-chateaubriant-a-rouge,TEILLAY,CHATEAUBRIANT,"16,6km",Voie verte lisse,Voie ferrée,Enrobé lisse et stabilisé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-1.47261213714847,47.70854199999999,-1.3725932236039036,47.811231832646804&crs=EPSG:4326","('-1.47261213714847', '47.70854199999999')","('-1.3725932236039036', '47.811231832646804')","(-1.4226026803761869, 47.759886916323396)",271.55
108,"V40 - la Véloscénie, de Massy à Paris / Coulée verte du sud parisien",https://www.af3v.org/les-voies-vertes/voies/27-v40-la-veloscenie-de-massy-a-paris-coulee-verte-du-sud-parisien,PARIS 01,MASSY,"16,6km",Voie verte lisse,Sentier,Mixte,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.272671,48.738059,2.347092,48.853859&crs=EPSG:4326","('2.272671', '48.738059')","('2.347092', '48.853859')","(2.3098815, 48.795958999999996)",271.88
109,"Voie verte du Pays de l'Or, le long du canal Ph. Lamour",https://www.af3v.org/les-voies-vertes/voies/998-voie-verte-du-pays-de-l-or-le-long-du-canal-ph-lamour,MAUGUIO,VALERGUES,"16,8km",Voie verte lisse,chemin de halage,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=3.9425763235232605,43.5785818334414,4.071055395701441,43.67121990565368&crs=EPSG:4326","('3.9425763235232605', '43.5785818334414')","('4.071055395701441', '43.67121990565368')","(4.006815859612351, 43.62490086954754)",254.22
110,"EV5 - Via Romea Francigena, de Cernay à Ensisheim / Voie Verte Les Rives de la Thur",https://www.af3v.org/les-voies-vertes/voies/707-ev5-via-romea-francigena-de-cernay-a-ensisheim-voie-verte-les-rives-de-la-thur,CERNAY,ENSISHEIM,"16,9km",Voie verte lisse,Sentier,Bitume,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.172503,47.804832,7.348596,47.866767&crs=EPSG:4326","('7.172503', '47.804832')","('7.348596', '47.866767')","(7.2605495, 47.8357995)",249.36
111,"EV3 - La Scandibérique / Voie Verte Mios - Bazas, de St-Symphorien à Le Nizan",https://www.af3v.org/les-voies-vertes/voies/754-ev3-la-scandiberique-voie-verte-mios-bazas-de-st-symphorien-a-le-nizan,ST SYMPHORIEN,LE NIZAN,"17,0km",Voie verte lisse,Ancienne voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-0.482279,44.42866399999998,-0.291653,44.462573999999975&crs=EPSG:4326","('-0.482279', '44.42866399999998')","('-0.291653', '44.462573999999975')","(-0.38696600000000003, 44.44561899999998)",274.61
112,Voie Verte des Deux Sarres,https://www.af3v.org/les-voies-vertes/voies/7-voie-verte-des-deux-sarres,LORQUIN,ABRESCHVILLER,"17,1km",Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.008046000000001,48.63430899999998,7.092571,48.73776018559299&crs=EPSG:4326","('7.008046000000001', '48.63430899999998')","('7.092571', '48.73776018559299')","(7.050308500000001, 48.68603459279649)",255.76
113,"EV4 - La Vélomaritime, de Dunkerque à Bray-Dunes",https://www.af3v.org/les-voies-vertes/voies/685-ev4-la-velomaritime-de-dunkerque-a-bray-dunes,DUNKERQUE,BRAY DUNES,"17,6km",Voie verte lisse,Pistes cyclables et sections de routes en voie partagée,Bitume,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.37129,50.969568999999986,2.55516635590643,51.076089425980186&crs=EPSG:4326","('2.37129', '50.969568999999986')","('2.55516635590643', '51.076089425980186')","(2.463228177953215, 51.02282921299009)",266.71
114,"EV5 - Via Romea Francigena, de Parc d'Olhain (Maisnil-lès-Ruitz) à Angres (intersection V32)",https://www.af3v.org/les-voies-vertes/voies/709-ev5-via-romea-francigena-de-parc-d-olhain-maisnil-les-ruitz-a-angres-intersection-v32,MAISNIL LES RUITZ,ANGRES,"17,7km",Voie verte lisse,Voie verte,Bitume,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.5825599999999995,50.39761699999998,2.76848006758006,50.442460999999994&crs=EPSG:4326","('2.5825599999999995', '50.39761699999998')","('2.76848006758006', '50.442460999999994')","(2.67552003379003, 50.42003899999999)",267.63
115,"EV17a - ViaRhôna, de Beaucaire à Arles",https://www.af3v.org/les-voies-vertes/voies/1145-viarhona-de-beaucaire-a-arles,BEAUCAIRE,ARLES,"17,9km",Voie verte lisse,Voie verte,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=4.606740585031841,43.678091999999985,4.6479273148691,43.805884&crs=EPSG:4326","('4.606740585031841', '43.678091999999985')","('4.6479273148691', '43.805884')","(4.62733394995047, 43.74198799999999)",255.14
116,"EV5 - Via Romea Francigena, de Ensisheim à Mulhouse",https://www.af3v.org/les-voies-vertes/voies/708-ev5-via-romea-francigena-de-ensisheim-a-mulhouse,ENSISHEIM,MULHOUSE,"18,2km",Voie verte lisse,Pistes cyclables et sections de routes en voie partagée,Bitume,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.340672,47.751104,7.380966999999999,47.864972999999985&crs=EPSG:4326","('7.340672', '47.751104')","('7.380966999999999', '47.864972999999985')","(7.3608195, 47.808038499999995)",249.67
117,Coulée verte du canal (de Belfort à Montbéliard),https://www.af3v.org/les-voies-vertes/voies/128-coulee-verte-du-canal-de-belfort-a-montbeliard,ESSERT,MONTBELIARD,"18,2km",Voie verte lisse,Canal,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.795272,47.522393,6.881087,47.641599&crs=EPSG:4326","('6.795272', '47.522393')","('6.881087', '47.641599')","(6.8381795, 47.581996000000004)",252.71
118,EV6 - de l'Atlantique à la Mer Noire / Loire à vélo / Voie Verte de Villandry à Tours,https://www.af3v.org/les-voies-vertes/voies/125-ev6-de-l-atlantique-a-la-mer-noire-loire-a-velo-voie-verte-de-villandry-a-tours,VILLANDRY,TOURS,"18,3km",Voie verte lisse,Canal,Stabilisé bien roulant,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=0.510339,47.343395,0.698254,47.374305&crs=EPSG:4326","('0.510339', '47.343395')","('0.698254', '47.374305')","(0.6042965, 47.358850000000004)",273.38
119,Voie Verte du Pays de Valois,https://www.af3v.org/les-voies-vertes/voies/525-voie-verte-du-pays-de-valois,ORMOY VILLERS,MAREUIL SUR OURCQ,"18,5km",Voie verte lisse,Ancienne voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.8659494174199804,49.12702799999999,3.076209,49.195496254369715&crs=EPSG:4326","('2.8659494174199804', '49.12702799999999')","('3.076209', '49.195496254369715')","(2.97107920870999, 49.161262127184855)",271.25
120,"EV8 / V80 - EV8 La Méditerranée à vélo, de Narbonne à Mirepeisset",https://www.af3v.org/les-voies-vertes/voies/542-ev8-la-mediterranee-a-velo-de-narbonne-a-mirepeisset,NARBONNE,MIREPEISSET,"18,6km",Voie verte lisse,véloroute,Français,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.9222139044424082,43.183583,3.010591,43.3164362918296&crs=EPSG:4326","('2.9222139044424082', '43.183583')","('3.010591', '43.3164362918296')","(2.966402452221204, 43.2500096459148)",240.23
121,Piste verte en Sumène-Artense,https://www.af3v.org/les-voies-vertes/voies/34-piste-verte-en-sumene-artense,BORT LES ORGUES,BASSIGNAC,"18,7km",Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.392499,45.31049999999999,2.5120250417585916,45.411146185798884&crs=EPSG:4326","('2.392499', '45.31049999999999')","('2.5120250417585916', '45.411146185798884')","(2.452262020879296, 45.36082309289944)",250.89
122,"Piste de la Largue, de Dannemarie à Pfetterhouse",https://www.af3v.org/les-voies-vertes/voies/120-piste-de-la-largue-de-dannemarie-a-pfetterhouse,DANNEMARIE,PFETTERHOUSE,"18,8km",Voie verte lisse,Voie ferrée,Béton de ciment,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.112011,47.501759,7.188653,47.635563&crs=EPSG:4326","('7.112011', '47.501759')","('7.188653', '47.635563')","(7.150332000000001, 47.568661)",249.96
123,Voie Verte des Gaves,https://www.af3v.org/les-voies-vertes/voies/1-voie-verte-des-gaves,LOURDES,PIERREFITTE NESTALAS,"19,1km",Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-0.097906,42.961218,-0.0324,43.095074&crs=EPSG:4326","('-0.097906', '42.961218')","('-0.0324', '43.095074')","(-0.065153, 43.028146)",269.73
124,"V16 - Avenue Verte London-Paris / Voie Verte de la Vallée de l'Epte, de Gisors à Bray-et-Lû",https://www.af3v.org/les-voies-vertes/voies/236-v16-avenue-verte-london-paris-voie-verte-de-la-vallee-de-l-epte-de-gisors-a-bray-et-lu,GISORS,BRAY ET LU,"19,2km",Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=1.651777,49.13866031604971,1.7579439999999997,49.273627&crs=EPSG:4326","('1.651777', '49.13866031604971')","('1.7579439999999997', '49.273627')","(1.7048605, 49.20614365802486)",268.81
125,EV6 - Véloroute des Fleuves / Voie Verte de Diou à Digoin,https://www.af3v.org/les-voies-vertes/voies/311-ev6-veloroute-des-fleuves-voie-verte-de-diou-a-digoin,DIGOIN,DIOU,"19,3km",Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=3.761139,46.470867999999996,3.9786150000000005,46.536558&crs=EPSG:4326","('3.761139', '46.470867999999996')","('3.9786150000000005', '46.536558')","(3.8698770000000002, 46.503713)",247.23
126,"V32 - Véloroute du Nord / Voie Verte de la Lys, de Dêulémont à Halluin",https://www.af3v.org/les-voies-vertes/voies/3-veloroute-du-nord-voie-verte-de-la-lys-de-deulemont-a-halluin,DEULEMONT,HALLUIN,"19,4km",Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.939562,50.724975,3.1256160000000004,50.79062499999999&crs=EPSG:4326","('2.939562', '50.724975')","('3.1256160000000004', '50.79062499999999')","(3.032589, 50.757799999999996)",266.69
127,"V50 - La Voie Bleue, Moselle-Saône à vélo, de Pompey à Laneuveville-devant-Nancy / Voie Verte Boucle de la Moselle - secteur Est",https://www.af3v.org/les-voies-vertes/voies/13-v50-la-voie-bleue-moselle-saone-a-velo-de-pompey-a-laneuveville-devant-nancy-voie-verte-boucle-de-la-moselle-secteur-est,POMPEY,LANEUVEVILLE DEVANT NANCY,"19,6km",Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.136406,48.65949799999999,6.232644,48.77803599999998&crs=EPSG:4326","('6.136406', '48.65949799999999')","('6.232644', '48.77803599999998')","(6.184525, 48.718766999999986)",257.57
128,Voie Verte de la vallée de la Doller,https://www.af3v.org/les-voies-vertes/voies/239-voie-verte-de-la-vallee-de-la-doller,BURNHAUPT LE HAUT,SEWEN,"19,7km",Voie verte lisse,Voie ferrée,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.9175189999999995,47.741040999999996,7.132997,47.808975&crs=EPSG:4326","('6.9175189999999995', '47.741040999999996')","('7.132997', '47.808975')","(7.025257999999999, 47.775008)",252.71
129,EV3 - Scandibérique / Trans'Oise de Lacroix-St-Ouen à Pont-Ste-Maxence,https://www.af3v.org/les-voies-vertes/voies/416-ev3-scandiberique-trans-oise-de-lacroix-st-ouen-a-pont-ste-maxence,LACROIX ST OUEN,PONT STE MAXENCE,"19,8km",Voie verte lisse,Voie en site propre,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.612144,49.30168599999999,2.768968,49.352819&crs=EPSG:4326","('2.612144', '49.30168599999999')","('2.768968', '49.352819')","(2.690556, 49.32725249999999)",270.63
130,"V45 - La Littorale, de Vannes à St-Armel",https://www.af3v.org/les-voies-vertes/voies/882-v45-la-littorale-de-vannes-a-st-armel,VANNES,ST ARMEL,"19,9km",Voie verte lisse,Routes et Pistes cyclables,Bitume et stabilisé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-2.764273988512158,47.573392,-2.658015,47.64921917908256&crs=EPSG:4326","('-2.764273988512158', '47.573392')","('-2.658015', '47.64921917908256')","(-2.7111444942560787, 47.611305589541274)",262.75
131,"EV1 - La Vélodyssée, de Biganos à La Teste-de-Buch",https://www.af3v.org/les-voies-vertes/voies/655-ev1-la-velodyssee-de-biganos-a-la-teste-de-buch,BIGANOS,LA TESTE DE BUCH,"20,0km",Voie verte lisse,Sentier,Bitume,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-1.1566965960442,44.609225366446395,-0.9672379999999999,44.638262999999995&crs=EPSG:4326","('-1.1566965960442', '44.609225366446395')","('-0.9672379999999999', '44.638262999999995')","(-1.0619672980221, 44.623744183223195)",273.99
132,Voie verte Trans-Semoysienne,https://www.af3v.org/les-voies-vertes/voies/549-voie-verte-trans-semoysienne,MONTHERME,THILAY,"20,3km",Voie verte lisse,Rivière,Enduit gravillonné,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=4.741597056353971,49.8562127607527,4.871654595306732,49.89655314720552&crs=EPSG:4326","('4.741597056353971', '49.8562127607527')","('4.871654595306732', '49.89655314720552')","(4.806625825830352, 49.87638295397911)",266.7
133,"V833 - Axe Littoral, de Mandirac à Saint-Pierre-la-Mer",https://www.af3v.org/les-voies-vertes/voies/243-axe-littoral-de-mandirac-a-saint-pierre-la-mer,NARBONNE,FLEURY,"20,4km",Voie verte lisse,Sentier,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=3.0320980000000004,43.111121,3.20234947097873,43.18677337942968&crs=EPSG:4326","('3.0320980000000004', '43.111121')","('3.20234947097873', '43.18677337942968')","(3.1172237354893655, 43.14894718971484)",245.7
134,Voie Verte départementale Dainville - Saulty (Véloroute de la Mémoire),https://www.af3v.org/les-voies-vertes/voies/353-voie-verte-departementale-dainville-saulty-veloroute-de-la-memoire,WAILLY,SAULTY,"20,5km",Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.550529,50.209229,2.781054,50.288853&crs=EPSG:4326","('2.550529', '50.209229')","('2.781054', '50.288853')","(2.6657915, 50.249041000000005)",267.62
135,"EV5 - Via Romea Francigena, de Béthune à Parc d'Olhain (Maisnil-lès-Ruitz)",https://www.af3v.org/les-voies-vertes/voies/691-ev5-via-romea-francigena-de-bethune-a-parc-d-olhain-maisnil-les-ruitz,BETHUNE,MAISNIL LES RUITZ,"20,6km",Voie verte lisse,Routes en voie partagée et Voies Vertes,Stabilisé et enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.544466,50.44143599999998,2.641032,50.525835&crs=EPSG:4326","('2.544466', '50.44143599999998')","('2.641032', '50.525835')","(2.592749, 50.48363549999999)",265.8
136,Voie Verte Le Chemin du train,https://www.af3v.org/les-voies-vertes/voies/87-voie-verte-le-chemin-du-train,GILLEY,PONTARLIER,"20,7km",Voie verte lisse,Voie ferrée,enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.34625618564228,46.91374407738829,6.495677,47.048805&crs=EPSG:4326","('6.34625618564228', '46.91374407738829')","('6.495677', '47.048805')","(6.42096659282114, 46.981274538694144)",255.45
137,"EV5 - Via Romea Francigena / Voie Verte du Canal de la Sarre, de Sarralbe à Mittersheim",https://www.af3v.org/les-voies-vertes/voies/699-ev5-via-romea-francigena-voie-verte-du-canal-de-la-sarre-de-sarralbe-a-mittersheim,SARRALBE,MITTERSHEIM,"20,7km",Voie verte lisse,Chemin de halage,Bitume,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.935468610442957,48.86482995577035,7.034020999999999,49.002990165237&crs=EPSG:4326","('6.935468610442957', '48.86482995577035')","('7.034020999999999', '49.002990165237')","(6.984744805221478, 48.93391006050368)",259.1
138,Itinéraire du Chemin des Romains,https://www.af3v.org/les-voies-vertes/voies/983-itineraire-du-chemin-des-romains,FAREBERSVILLER,SARREGUEMINES,"20,8km",Voie verte lisse,piste cyclable et route,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.83362304457473,49.10983598272866,7.04853073333352,49.14227880261349&crs=EPSG:4326","('6.83362304457473', '49.10983598272866')","('7.04853073333352', '49.14227880261349')","(6.941076888954125, 49.12605739267107)",257.87
139,Voie douce de la Payre,https://www.af3v.org/les-voies-vertes/voies/417-voie-douce-de-la-payre,LE POUZIN,PRIVAS,"21,3km",Voie verte lisse,Voie ferrée,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=4.576964,44.694214,4.743723,44.742268&crs=EPSG:4326","('4.576964', '44.694214')","('4.743723', '44.742268')","(4.6603435, 44.718241000000006)",255.45
140,Liaison intercommunale Molsheim - Altdorf - Duppigheim- Entzheil - Lingolsheim - Strasbourg,https://www.af3v.org/les-voies-vertes/voies/943-liaison-intercommunale-molsheim-altdorf-duppigheim-entzheil-lingolsheim-strasbourg,MOLSHEIM,STRASBOURG,"21,3km",Voie verte lisse,,Enrobé majoritairement,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.4988060237476635,48.52486944878877,7.690794,48.56296899999998&crs=EPSG:4326","('7.4988060237476635', '48.52486944878877')","('7.690794', '48.56296899999998')","(7.594800011873832, 48.54391922439437)",252.09
141,"V50 - La Voie Bleue, Moselle-Saône à vélo, de Pont-à-Mousson à Pompey (Nancy)",https://www.af3v.org/les-voies-vertes/voies/825-v50-la-voie-bleue-moselle-saone-a-velo-de-pont-a-mousson-a-pompey-nancy,PONT A MOUSSON,POMPEY,"21,5km",Voie verte lisse,piste cyclable,enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.051226248576977,48.779211999999994,6.142937,48.90827175145766&crs=EPSG:4326","('6.051226248576977', '48.779211999999994')","('6.142937', '48.90827175145766')","(6.097081624288489, 48.843741875728824)",259.4
142,Voie Verte Itinéraire Airbus A380 en Haute-Garonne,https://www.af3v.org/les-voies-vertes/voies/80-voie-verte-itineraire-airbus-a380-en-haute-garonne,CORNEBARRIEU,MERENVIELLE,"21,5km",Voie verte lisse,Route,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=1.15129459394361,43.636924213279094,1.35573168286205,43.68435699999999&crs=EPSG:4326","('1.15129459394361', '43.636924213279094')","('1.35573168286205', '43.68435699999999')","(1.25351313840283, 43.66064060663955)",243.28
143,"V16a - Avenue Verte London - Paris, de Therdonne à Clermont",https://www.af3v.org/les-voies-vertes/voies/410-v16a-avenue-verte-london-paris-de-therdonne-a-clermont,BEAUVAIS,CLERMONT,"21,6km",Voie verte lisse,Route,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.161852,49.376242785960386,2.4133539765730263,49.419948&crs=EPSG:4326","('2.161852', '49.376242785960386')","('2.4133539765730263', '49.419948')","(2.287602988286513, 49.398095392980196)",269.42
144,La Vigne à Vélo,https://www.af3v.org/les-voies-vertes/voies/113-la-vigne-a-velo,LES ARCS,CHATEAUDOUBLE,"22,1km",Voie verte lisse,Voies vertes (80%) - voies partagées (20 %),Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.419968645834898,43.45665722166526,6.51919258005199,43.57660288676957&crs=EPSG:4326","('6.419968645834898', '43.45665722166526')","('6.51919258005199', '43.57660288676957')","(6.469580612943444, 43.516630054217416)",241.15
145,"EV5 - Via Romea Francigena / Voie Verte du canal de la Sarre, de Sarreguemines à Sarralbe",https://www.af3v.org/les-voies-vertes/voies/195-ev5-via-romea-francigena-voie-verte-du-canal-de-la-sarre-de-sarreguemines-a-sarralbe,SARREGUEMINES,SARRALBE,"22,2km",Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.030105921310613,49.002990165237,7.149332,49.099776&crs=EPSG:4326","('7.030105921310613', '49.002990165237')","('7.149332', '49.099776')","(7.089718960655307, 49.0513830826185)",256.65
146,"V51a - Voie Verte de Bourgogne du sud, de St-Gengoux-le-National à Cluny",https://www.af3v.org/les-voies-vertes/voies/742-v51a-voie-verte-de-bourgogne-du-sud-de-st-gengoux-le-national-a-cluny,ST GENGOUX LE NATIONAL,CLUNY,"22,3km",Voie verte lisse,Ancienne voie ferrée,Bitume,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=4.66611,46.424835,4.747349,46.777368&crs=EPSG:4326","('4.66611', '46.424835')","('4.747349', '46.777368')","(4.7067295, 46.6011015)",254.83
147,"EV15 - Véloroute du Rhin, de Seltz à Drusenheim",https://www.af3v.org/les-voies-vertes/voies/714-ev15-veloroute-du-rhin-de-seltz-a-drusenheim,SELTZ,DRUSENHEIM,"22,3km",Voie verte lisse,Pistes cyclables et sections de routes en voie partagée,Bitume,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.952501815421089,48.757226999999986,8.133284,48.888166217762105&crs=EPSG:4326","('7.952501815421089', '48.757226999999986')","('8.133284', '48.888166217762105')","(8.042892907710545, 48.822696608881046)",267.01
148,"V52 - Paris - Strasbourg, de Nancy à Einville-au-Jard / Voie verte du canal de la Marne au Rhin",https://www.af3v.org/les-voies-vertes/voies/839-v52-paris-strasbourg-de-nancy-a-einville-au-jard-voie-verte-du-canal-de-la-marne-au-rhin,LANEUVEVILLE DEVANT NANCY,EINVILLE AU JARD,"22,4km",Voie verte lisse,voie verte,enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.232509097687702,48.628468347035785,6.489608938310736,48.65942801286173&crs=EPSG:4326","('6.232509097687702', '48.628468347035785')","('6.489608938310736', '48.65942801286173')","(6.361059017999219, 48.64394817994876)",260.32
149,Avenue Verte de Tarentaise,https://www.af3v.org/les-voies-vertes/voies/153-avenue-verte-de-tarentaise,AIME LA PLAGNE,AUTREPPES,"22,4km",Voie verte lisse,Sentier,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.565159,45.511305,6.7888133473450285,45.62222254588365&crs=EPSG:4326","('6.565159', '45.511305')","('6.7888133473450285', '45.62222254588365')","(6.676986173672514, 45.566763772941826)",246.32
150,Voie Verte Lacanau - Arès,https://www.af3v.org/les-voies-vertes/voies/177-voie-verte-lacanau-ares,LACANAU,ARES,"22,5km",Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-1.136632,44.779506,-1.077975,44.972055&crs=EPSG:4326","('-1.136632', '44.779506')","('-1.077975', '44.972055')","(-1.1073035, 44.8757805)",275.2
151,"EV5 / V52 - Via Romea Francigena : Paris - Strasbourg / Voie Verte du canal de la Marne au Rhin, de Saverne à Waltenheim-sur-Zorn",https://www.af3v.org/les-voies-vertes/voies/48-ev5-via-romea-francigena-v52-paris-strasbourg-voie-verte-du-canal-de-la-marne-au-rhin-de-saverne-a-waltenheim-sur-zorn,SAVERNE,WALTENHEIM,"22,5km",Voie verte lisse,Chemin de halage,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.361339,48.739893,7.632746,48.76330199999999&crs=EPSG:4326","('7.361339', '48.739893')","('7.632746', '48.76330199999999')","(7.4970425, 48.751597499999995)",250.88
152,"EV1 - La Vélodyssée, de Lège-Cap-Ferret à Biganos",https://www.af3v.org/les-voies-vertes/voies/654-ev1-la-velodyssee-de-lege-cap-ferret-a-biganos,LEGE CAP FERRET,BIGANOS,"22,8km",Voie verte lisse,Sentier,Bitume,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-1.143329,44.63826287190792,-0.959302,44.781975&crs=EPSG:4326","('-1.143329', '44.63826287190792')","('-0.959302', '44.781975')","(-1.0513155, 44.71011893595396)",274.9
153,"EV5-V32 - Via Romea Francigena / Véloroute Lille - Paris, de Lens à Don",https://www.af3v.org/les-voies-vertes/voies/694-via-romea-francigena-veloroute-lille-paris-de-lens-a-don,LENS,DON,"23,0km",Voie verte lisse,Chemin de halage et voies partagées.,Enrobé et stabilisé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.7890669746593004,50.4213231427521,2.91035,50.545773&crs=EPSG:4326","('2.7890669746593004', '50.4213231427521')","('2.91035', '50.545773')","(2.84970848732965, 50.48354807137605)",267.01
154,"V43 - La Vélo Francette / Voie verte de la Suisse normande, de Thury-Harcourt à Pont-d'Ouilly",https://www.af3v.org/les-voies-vertes/voies/806-v43-la-velo-francette-voie-verte-de-la-suisse-normande-de-thury-harcourt-a-pont-d-ouilly,LE HOM,PONT D OUILLY,"23,2km",Voie verte lisse,,,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-0.510786,48.873849733175504,-0.404877,48.988700183419795&crs=EPSG:4326","('-0.510786', '48.873849733175504')","('-0.404877', '48.988700183419795')","(-0.45783149999999995, 48.93127495829765)",272.78
