,Nom,Lien,Début,Fin,Distance,Type voie,Nature voie,Revêtement,Carte,Coordonnées de début,Coordonnées de fin,Coordonnées milieu,% Couverture correspondant (200m),Groupes nature voie,Energie produite annuelle (kWh),Énergie produite annuelle (kWh / 860m2 de panneau),Unnamed: 0,SolarScore
99,Voie Verte de Perpignan à Thuir,https://www.af3v.org/les-voies-vertes/voies/93-voie-verte-de-perpignan-a-thuir,Perpignan,Thuir,15.7,Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.756597,42.621595,2.880665,42.690669&crs=EPSG:4326","('2.756597', '42.621595')","('2.880665', '42.690669')","(2.818631, 42.656132)",1.27,Bord de voie ferrée,105.67,90876.0,99,B
100,"EV5 - Via Romea Francigena, de Guebwiller à Cernay / Véloroute du vignoble d'Alsace",https://www.af3v.org/les-voies-vertes/voies/706-ev5-via-romea-francigena-de-guebwiller-a-cernay-veloroute-du-vignoble-d-alsace,Guebwiller,Cernay,15.9,Voie verte lisse,Pistes cyclables et sections de routes en voie partagée,Enrobé et stabilisé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.172035999999999,47.805267,7.227266,47.903744&crs=EPSG:4326","('7.172035999999999', '47.805267')","('7.227266', '47.903744')","(7.199650999999999, 47.8545055)",1.26,Bord de route,77.71,66831.0,100,D
101,"EV15 - Véloroute du Rhin, de Lauterbourg à Seltz",https://www.af3v.org/les-voies-vertes/voies/713-ev15-veloroute-du-rhin-de-lauterbourg-a-seltz,Lauterbourg,Seltz,15.9,Voie verte lisse,Pistes cyclables et sections de routes en voie partagée,Bitume,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=8.129899,48.888166217762105,8.230184,48.968159&crs=EPSG:4326","('8.129899', '48.888166217762105')","('8.230184', '48.968159')","(8.1800415, 48.92816260888105)",1.26,Bord de route,73.09,62857.0,101,D
102,Voie verte de la vallée du Rabodeau,https://www.af3v.org/les-voies-vertes/voies/776-voie-verte-de-la-vallee-du-rabodeau,Moussey,Etival clairefontaine,15.9,Voie verte lisse,Ancienne voie ferrée,enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.865121040717475,48.36439741146428,7.02122776444727,48.4294483479529&crs=EPSG:4326","('6.865121040717475', '48.36439741146428')","('7.02122776444727', '48.4294483479529')","(6.943174402582372, 48.39692287970859)",1.26,Ancienne ligne ferrovière,67.64,58170.0,102,E
103,"EV6 - Voie Verte du canal du Rhône au Rhin, de Mulhouse à Niffer",https://www.af3v.org/les-voies-vertes/voies/121-ev6-voie-verte-du-canal-du-rhone-au-rhin-de-mulhouse-a-niffer,Mulhouse,Niffer,16.2,Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.358128,47.709292,7.502528,47.76798&crs=EPSG:4326","('7.358128', '47.709292')","('7.502528', '47.76798')","(7.430327999999999, 47.738636)",1.23,Bord de rivière ou canal,75.57,64990.0,103,D
104,"V81 - Véloroute du Piémont Pyrénéen, de Bayonne à Urt",https://www.af3v.org/les-voies-vertes/voies/912-veloroute-du-piemont-pyreneen-v81-de-bayonne-a-urt,Bayonne,Urt,16.4,Voie verte lisse,Chemin,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-1.4652639691135145,43.483582730700114,-1.2939540000000003,43.50114699999998&crs=EPSG:4326","('-1.4652639691135145', '43.483582730700114')","('-1.2939540000000003', '43.50114699999998')","(-1.3796089845567574, 43.49236486535005)",1.22,Bord de sentier,80.41,69153.0,104,D
105,"EV3 / V41 - EV3 : la Scandibérique / V41 : St-Jacques à vélo via Chartres, de Hostens à St-Symphorien",https://www.af3v.org/les-voies-vertes/voies/753-ev3-la-scandiberique-v41-st-jacques-a-velo-via-chartres-de-hostens-a-st-symphorien,Hostens,St symphorien,16.5,Voie verte lisse,Ancienne voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-0.655152,44.42868671908339,-0.480478,44.493061999999995&crs=EPSG:4326","('-0.655152', '44.42868671908339')","('-0.480478', '44.493061999999995')","(-0.567815, 44.46087435954169)",1.21,Ancienne ligne ferrovière,82.88,71277.0,105,C
106,"V43 - La Vélo Francette, de Ouistreham à Caen / Voie Verte Caen - Ouistreham",https://www.af3v.org/les-voies-vertes/voies/90-v43-la-velo-francette-de-ouistreham-a-caen-voie-verte-caen-ouistreham,Caen,Colleville montgomery,16.5,Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-0.35327003869016155,49.178182702756104,-0.249301,49.289088&crs=EPSG:4326","('-0.35327003869016155', '49.178182702756104')","('-0.249301', '49.289088')","(-0.30128551934508074, 49.233635351378055)",1.21,Bord de rivière ou canal,72.77,62582.0,106,D
107,"V409 - La Régalante, de Teillay à Chateaubriant / Voie Verte de Châteaubriant à Rougé",https://www.af3v.org/les-voies-vertes/voies/165-la-regalante-de-teillay-a-chateaubriant-voie-verte-de-chateaubriant-a-rouge,Teillay,Chateaubriant,16.6,Voie verte lisse,Voie ferrée,Enrobé lisse et stabilisé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-1.47261213714847,47.70854199999999,-1.3725932236039036,47.811231832646804&crs=EPSG:4326","('-1.47261213714847', '47.70854199999999')","('-1.3725932236039036', '47.811231832646804')","(-1.4226026803761869, 47.759886916323396)",1.2,Bord de voie ferrée,63.89,54945.0,107,E
108,"V40 - la Véloscénie, de Massy à Paris / Coulée verte du sud parisien",https://www.af3v.org/les-voies-vertes/voies/27-v40-la-veloscenie-de-massy-a-paris-coulee-verte-du-sud-parisien,Paris 01,Massy,16.6,Voie verte lisse,Sentier,Mixte,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.272671,48.738059,2.347092,48.853859&crs=EPSG:4326","('2.272671', '48.738059')","('2.347092', '48.853859')","(2.3098815, 48.795958999999996)",1.2,Bord de sentier,64.84,55762.0,108,E
109,"Voie verte du Pays de l'Or, le long du canal Ph. Lamour",https://www.af3v.org/les-voies-vertes/voies/998-voie-verte-du-pays-de-l-or-le-long-du-canal-ph-lamour,Mauguio,Valergues,16.8,Voie verte lisse,chemin de halage,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=3.9425763235232605,43.5785818334414,4.071055395701441,43.67121990565368&crs=EPSG:4326","('3.9425763235232605', '43.5785818334414')","('4.071055395701441', '43.67121990565368')","(4.006815859612351, 43.62490086954754)",1.19,Bord de rivière ou canal,108.45,93267.0,109,B
110,"EV5 - Via Romea Francigena, de Cernay à Ensisheim / Voie Verte Les Rives de la Thur",https://www.af3v.org/les-voies-vertes/voies/707-ev5-via-romea-francigena-de-cernay-a-ensisheim-voie-verte-les-rives-de-la-thur,Cernay,Ensisheim,16.9,Voie verte lisse,Sentier,Bitume,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.172503,47.804832,7.348596,47.866767&crs=EPSG:4326","('7.172503', '47.804832')","('7.348596', '47.866767')","(7.2605495, 47.8357995)",1.18,Bord de sentier,77.71,66831.0,110,D
111,"EV3 - La Scandibérique / Voie Verte Mios - Bazas, de St-Symphorien à Le Nizan",https://www.af3v.org/les-voies-vertes/voies/754-ev3-la-scandiberique-voie-verte-mios-bazas-de-st-symphorien-a-le-nizan,St symphorien,Le nizan,17.0,Voie verte lisse,Ancienne voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-0.482279,44.42866399999998,-0.291653,44.462573999999975&crs=EPSG:4326","('-0.482279', '44.42866399999998')","('-0.291653', '44.462573999999975')","(-0.38696600000000003, 44.44561899999998)",1.18,Ancienne ligne ferrovière,81.65,70219.0,111,C
112,Voie Verte des Deux Sarres,https://www.af3v.org/les-voies-vertes/voies/7-voie-verte-des-deux-sarres,Lorquin,Abreschviller,17.1,Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.008046000000001,48.63430899999998,7.092571,48.73776018559299&crs=EPSG:4326","('7.008046000000001', '48.63430899999998')","('7.092571', '48.73776018559299')","(7.050308500000001, 48.68603459279649)",1.17,Bord de voie ferrée,71.58,61559.0,112,D
113,"EV4 - La Vélomaritime, de Dunkerque à Bray-Dunes",https://www.af3v.org/les-voies-vertes/voies/685-ev4-la-velomaritime-de-dunkerque-a-bray-dunes,Dunkerque,Bray dunes,17.6,Voie verte lisse,Pistes cyclables et sections de routes en voie partagée,Bitume,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.37129,50.969568999999986,2.55516635590643,51.076089425980186&crs=EPSG:4326","('2.37129', '50.969568999999986')","('2.55516635590643', '51.076089425980186')","(2.463228177953215, 51.02282921299009)",1.14,Bord de route,67.54,58084.0,113,E
114,"EV5 - Via Romea Francigena, de Parc d'Olhain (Maisnil-lès-Ruitz) à Angres (intersection V32)",https://www.af3v.org/les-voies-vertes/voies/709-ev5-via-romea-francigena-de-parc-d-olhain-maisnil-les-ruitz-a-angres-intersection-v32,Maisnil les ruitz,Angres,17.7,Voie verte lisse,Voie verte,Bitume,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.5825599999999995,50.39761699999998,2.76848006758006,50.442460999999994&crs=EPSG:4326","('2.5825599999999995', '50.39761699999998')","('2.76848006758006', '50.442460999999994')","(2.67552003379003, 50.42003899999999)",1.13,Voie verte,63.59,54687.0,114,E
115,"EV17a - ViaRhôna, de Beaucaire à Arles",https://www.af3v.org/les-voies-vertes/voies/1145-viarhona-de-beaucaire-a-arles,Beaucaire,Arles,17.9,Voie verte lisse,Voie verte,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=4.606740585031841,43.678091999999985,4.6479273148691,43.805884&crs=EPSG:4326","('4.606740585031841', '43.678091999999985')","('4.6479273148691', '43.805884')","(4.62733394995047, 43.74198799999999)",1.12,Voie verte,109.97,94574.0,115,B
116,"EV5 - Via Romea Francigena, de Ensisheim à Mulhouse",https://www.af3v.org/les-voies-vertes/voies/708-ev5-via-romea-francigena-de-ensisheim-a-mulhouse,Ensisheim,Mulhouse,18.2,Voie verte lisse,Pistes cyclables et sections de routes en voie partagée,Bitume,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.340672,47.751104,7.380966999999999,47.864972999999985&crs=EPSG:4326","('7.340672', '47.751104')","('7.380966999999999', '47.864972999999985')","(7.3608195, 47.808038499999995)",1.1,Bord de route,77.71,66831.0,116,D
117,Coulée verte du canal (de Belfort à Montbéliard),https://www.af3v.org/les-voies-vertes/voies/128-coulee-verte-du-canal-de-belfort-a-montbeliard,Essert,Montbeliard,18.2,Voie verte lisse,Canal,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.795272,47.522393,6.881087,47.641599&crs=EPSG:4326","('6.795272', '47.522393')","('6.881087', '47.641599')","(6.8381795, 47.581996000000004)",1.1,Bord de rivière ou canal,72.51,62359.0,117,D
118,EV6 - de l'Atlantique à la Mer Noire / Loire à vélo / Voie Verte de Villandry à Tours,https://www.af3v.org/les-voies-vertes/voies/125-ev6-de-l-atlantique-a-la-mer-noire-loire-a-velo-voie-verte-de-villandry-a-tours,Villandry,Tours,18.3,Voie verte lisse,Canal,Stabilisé bien roulant,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=0.510339,47.343395,0.698254,47.374305&crs=EPSG:4326","('0.510339', '47.343395')","('0.698254', '47.374305')","(0.6042965, 47.358850000000004)",1.09,Bord de rivière ou canal,69.73,59968.0,118,E
119,Voie Verte du Pays de Valois,https://www.af3v.org/les-voies-vertes/voies/525-voie-verte-du-pays-de-valois,Ormoy villers,Mareuil sur ourcq,18.5,Voie verte lisse,Ancienne voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.8659494174199804,49.12702799999999,3.076209,49.195496254369715&crs=EPSG:4326","('2.8659494174199804', '49.12702799999999')","('3.076209', '49.195496254369715')","(2.97107920870999, 49.161262127184855)",1.08,Ancienne ligne ferrovière,63.9,54954.0,119,E
120,"EV8 / V80 - EV8 La Méditerranée à vélo, de Narbonne à Mirepeisset",https://www.af3v.org/les-voies-vertes/voies/542-ev8-la-mediterranee-a-velo-de-narbonne-a-mirepeisset,Narbonne,Mirepeisset,18.6,Voie verte lisse,véloroute,Français,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.9222139044424082,43.183583,3.010591,43.3164362918296&crs=EPSG:4326","('2.9222139044424082', '43.183583')","('3.010591', '43.3164362918296')","(2.966402452221204, 43.2500096459148)",1.08,Bord de route,102.05,87763.0,120,B
121,Piste verte en Sumène-Artense,https://www.af3v.org/les-voies-vertes/voies/34-piste-verte-en-sumene-artense,Bort les orgues,Bassignac,20.0,Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.38679333871683,45.300056629320295,2.51202504175859,45.411146185798884&crs=EPSG:4326","('2.38679333871683', '45.300056629320295')","('2.51202504175859', '45.411146185798884')","(2.44940919023771, 45.35560140755959)",1.0,Bord de voie ferrée,81.42,70021.0,121,C
122,"Piste de la Largue, de Dannemarie à Pfetterhouse",https://www.af3v.org/les-voies-vertes/voies/120-piste-de-la-largue-de-dannemarie-a-pfetterhouse,Dannemarie,Pfetterhouse,18.8,Voie verte lisse,Voie ferrée,Béton de ciment,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.112011,47.501759,7.188653,47.635563&crs=EPSG:4326","('7.112011', '47.501759')","('7.188653', '47.635563')","(7.150332000000001, 47.568661)",1.06,Bord de voie ferrée,72.84,62642.0,122,D
123,Voie Verte des Gaves,https://www.af3v.org/les-voies-vertes/voies/1-voie-verte-des-gaves,Lourdes,Pierrefitte nestalas,19.1,Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-0.097906,42.961218,-0.0324,43.095074&crs=EPSG:4326","('-0.097906', '42.961218')","('-0.0324', '43.095074')","(-0.065153, 43.028146)",1.05,Bord de voie ferrée,75.47,64904.0,123,D
124,"V16 - Avenue Verte London-Paris / Voie Verte de la Vallée de l'Epte, de Gisors à Bray-et-Lû",https://www.af3v.org/les-voies-vertes/voies/236-v16-avenue-verte-london-paris-voie-verte-de-la-vallee-de-l-epte-de-gisors-a-bray-et-lu,Gisors,Bray et lu,19.2,Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=1.651777,49.13866031604971,1.7579439999999997,49.273627&crs=EPSG:4326","('1.651777', '49.13866031604971')","('1.7579439999999997', '49.273627')","(1.7048605, 49.20614365802486)",1.04,Bord de voie ferrée,64.51,55479.0,124,E
125,EV6 - Véloroute des Fleuves / Voie Verte de Diou à Digoin,https://www.af3v.org/les-voies-vertes/voies/311-ev6-veloroute-des-fleuves-voie-verte-de-diou-a-digoin,Digoin,Diou,19.3,Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=3.761139,46.470867999999996,3.9786150000000005,46.536558&crs=EPSG:4326","('3.761139', '46.470867999999996')","('3.9786150000000005', '46.536558')","(3.8698770000000002, 46.503713)",1.04,Bord de rivière ou canal,77.42,66581.0,125,D
126,"V32 - Véloroute du Nord / Voie Verte de la Lys, de Dêulémont à Halluin",https://www.af3v.org/les-voies-vertes/voies/3-veloroute-du-nord-voie-verte-de-la-lys-de-deulemont-a-halluin,Deulemont,Halluin,19.4,Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.939562,50.724975,3.1256160000000004,50.79062499999999&crs=EPSG:4326","('2.939562', '50.724975')","('3.1256160000000004', '50.79062499999999')","(3.032589, 50.757799999999996)",1.03,Bord de rivière ou canal,63.59,54687.0,126,E
127,"V50 - La Voie Bleue, Moselle-Saône à vélo, de Pompey à Laneuveville-devant-Nancy / Voie Verte Boucle de la Moselle - secteur Est",https://www.af3v.org/les-voies-vertes/voies/13-v50-la-voie-bleue-moselle-saone-a-velo-de-pompey-a-laneuveville-devant-nancy-voie-verte-boucle-de-la-moselle-secteur-est,Pompey,Laneuveville devant nancy,19.6,Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.136406,48.65949799999999,6.232644,48.77803599999998&crs=EPSG:4326","('6.136406', '48.65949799999999')","('6.232644', '48.77803599999998')","(6.184525, 48.718766999999986)",1.02,Bord de rivière ou canal,72.18,62075.0,127,D
128,Voie Verte de la vallée de la Doller,https://www.af3v.org/les-voies-vertes/voies/239-voie-verte-de-la-vallee-de-la-doller,Burnhaupt le haut,Sewen,19.7,Voie verte lisse,Voie ferrée,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.9175189999999995,47.741040999999996,7.132997,47.808975&crs=EPSG:4326","('6.9175189999999995', '47.741040999999996')","('7.132997', '47.808975')","(7.025257999999999, 47.775008)",1.02,Bord de voie ferrée,74.66,64208.0,128,D
129,EV3 - Scandibérique / Trans'Oise de Lacroix-St-Ouen à Pont-Ste-Maxence,https://www.af3v.org/les-voies-vertes/voies/416-ev3-scandiberique-trans-oise-de-lacroix-st-ouen-a-pont-ste-maxence,Lacroix st ouen,Pont ste maxence,19.8,Voie verte lisse,Voie en site propre,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.612144,49.30168599999999,2.768968,49.352819&crs=EPSG:4326","('2.612144', '49.30168599999999')","('2.768968', '49.352819')","(2.690556, 49.32725249999999)",1.01,Voie verte,64.51,55479.0,129,E
130,"V45 - La Littorale, de Vannes à St-Armel",https://www.af3v.org/les-voies-vertes/voies/882-v45-la-littorale-de-vannes-a-st-armel,Vannes,St armel,19.9,Voie verte lisse,Routes et Pistes cyclables,Bitume et stabilisé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-2.764273988512158,47.573392,-2.658015,47.64921917908256&crs=EPSG:4326","('-2.764273988512158', '47.573392')","('-2.658015', '47.64921917908256')","(-2.7111444942560787, 47.611305589541274)",1.01,Bord de route,74.61,64165.0,130,D
131,"EV1 - La Vélodyssée, de Biganos à La Teste-de-Buch",https://www.af3v.org/les-voies-vertes/voies/655-ev1-la-velodyssee-de-biganos-a-la-teste-de-buch,Biganos,La teste de buch,20.0,Voie verte lisse,Sentier,Bitume,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=-1.1566965960442,44.609225366446395,-0.9672379999999999,44.638262999999995&crs=EPSG:4326","('-1.1566965960442', '44.609225366446395')","('-0.9672379999999999', '44.638262999999995')","(-1.0619672980221, 44.623744183223195)",1.0,Bord de sentier,92.04,79154.0,131,C
132,Voie verte Trans-Semoysienne,https://www.af3v.org/les-voies-vertes/voies/549-voie-verte-trans-semoysienne,Montherme,Thilay,20.3,Voie verte lisse,Rivière,Enduit gravillonné,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=4.741597056353971,49.8562127607527,4.871654595306732,49.89655314720552&crs=EPSG:4326","('4.741597056353971', '49.8562127607527')","('4.871654595306732', '49.89655314720552')","(4.806625825830352, 49.87638295397911)",0.99,Bord de rivière ou canal,61.77,53122.0,132,E
133,"V833 - Axe Littoral, de Mandirac à Saint-Pierre-la-Mer",https://www.af3v.org/les-voies-vertes/voies/243-axe-littoral-de-mandirac-a-saint-pierre-la-mer,Narbonne,Fleury,20.4,Voie verte lisse,Sentier,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=3.0320980000000004,43.111121,3.20234947097873,43.18677337942968&crs=EPSG:4326","('3.0320980000000004', '43.111121')","('3.20234947097873', '43.18677337942968')","(3.1172237354893655, 43.14894718971484)",0.98,Bord de sentier,107.54,92484.0,133,B
134,Voie Verte départementale Dainville - Saulty (Véloroute de la Mémoire),https://www.af3v.org/les-voies-vertes/voies/353-voie-verte-departementale-dainville-saulty-veloroute-de-la-memoire,Wailly,Saulty,20.5,Voie verte lisse,Voie ferrée,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.550529,50.209229,2.781054,50.288853&crs=EPSG:4326","('2.550529', '50.209229')","('2.781054', '50.288853')","(2.6657915, 50.249041000000005)",0.98,Bord de voie ferrée,63.59,54687.0,134,E
135,"EV5 - Via Romea Francigena, de Béthune à Parc d'Olhain (Maisnil-lès-Ruitz)",https://www.af3v.org/les-voies-vertes/voies/691-ev5-via-romea-francigena-de-bethune-a-parc-d-olhain-maisnil-les-ruitz,Bethune,Maisnil les ruitz,20.6,Voie verte lisse,Routes en voie partagée et Voies Vertes,Stabilisé et enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.544466,50.44143599999998,2.641032,50.525835&crs=EPSG:4326","('2.544466', '50.44143599999998')","('2.641032', '50.525835')","(2.592749, 50.48363549999999)",0.97,Bord de route,61.76,53114.0,135,E
136,Voie Verte Le Chemin du train,https://www.af3v.org/les-voies-vertes/voies/87-voie-verte-le-chemin-du-train,Gilley,Pontarlier,20.7,Voie verte lisse,Voie ferrée,enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.34625618564228,46.91374407738829,6.495677,47.048805&crs=EPSG:4326","('6.34625618564228', '46.91374407738829')","('6.495677', '47.048805')","(6.42096659282114, 46.981274538694144)",0.97,Bord de voie ferrée,73.13,62892.0,136,D
137,"EV5 - Via Romea Francigena / Voie Verte du Canal de la Sarre, de Sarralbe à Mittersheim",https://www.af3v.org/les-voies-vertes/voies/699-ev5-via-romea-francigena-voie-verte-du-canal-de-la-sarre-de-sarralbe-a-mittersheim,Sarralbe,Mittersheim,20.7,Voie verte lisse,Chemin de halage,Bitume,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.935468610442957,48.86482995577035,7.034020999999999,49.002990165237&crs=EPSG:4326","('6.935468610442957', '48.86482995577035')","('7.034020999999999', '49.002990165237')","(6.984744805221478, 48.93391006050368)",0.97,Bord de rivière ou canal,72.77,62582.0,137,D
138,Itinéraire du Chemin des Romains,https://www.af3v.org/les-voies-vertes/voies/983-itineraire-du-chemin-des-romains,Farebersviller,Sarreguemines,20.8,Voie verte lisse,piste cyclable et route,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.83362304457473,49.10983598272866,7.04853073333352,49.14227880261349&crs=EPSG:4326","('6.83362304457473', '49.10983598272866')","('7.04853073333352', '49.14227880261349')","(6.941076888954125, 49.12605739267107)",0.96,Bord de route,72.78,62591.0,138,D
139,Voie douce de la Payre,https://www.af3v.org/les-voies-vertes/voies/417-voie-douce-de-la-payre,Le pouzin,Privas,21.3,Voie verte lisse,Voie ferrée,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=4.576964,44.694214,4.743723,44.742268&crs=EPSG:4326","('4.576964', '44.694214')","('4.743723', '44.742268')","(4.6603435, 44.718241000000006)",0.94,Bord de voie ferrée,98.43,84650.0,139,B
140,Liaison intercommunale Molsheim - Altdorf - Duppigheim- Entzheil - Lingolsheim - Strasbourg,https://www.af3v.org/les-voies-vertes/voies/943-liaison-intercommunale-molsheim-altdorf-duppigheim-entzheil-lingolsheim-strasbourg,Molsheim,Strasbourg,21.3,Voie verte lisse,,Enrobé majoritairement,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.4988060237476635,48.52486944878877,7.690794,48.56296899999998&crs=EPSG:4326","('7.4988060237476635', '48.52486944878877')","('7.690794', '48.56296899999998')","(7.594800011873832, 48.54391922439437)",0.94,Voie verte,74.03,63666.0,140,D
141,"V50 - La Voie Bleue, Moselle-Saône à vélo, de Pont-à-Mousson à Pompey (Nancy)",https://www.af3v.org/les-voies-vertes/voies/825-v50-la-voie-bleue-moselle-saone-a-velo-de-pont-a-mousson-a-pompey-nancy,Pont a mousson,Pompey,21.5,Voie verte lisse,piste cyclable,enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.051226248576977,48.779211999999994,6.142937,48.90827175145766&crs=EPSG:4326","('6.051226248576977', '48.779211999999994')","('6.142937', '48.90827175145766')","(6.097081624288489, 48.843741875728824)",0.93,Piste cyclable,72.48,62333.0,141,D
142,Voie Verte Itinéraire Airbus A380 en Haute-Garonne,https://www.af3v.org/les-voies-vertes/voies/80-voie-verte-itineraire-airbus-a380-en-haute-garonne,Cornebarrieu,Merenvielle,21.5,Voie verte lisse,Route,Enrobé,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=1.15129459394361,43.636924213279094,1.35573168286205,43.68435699999999&crs=EPSG:4326","('1.15129459394361', '43.636924213279094')","('1.35573168286205', '43.68435699999999')","(1.25351313840283, 43.66064060663955)",0.93,Bord de route,86.83,74674.0,142,C
143,"V16a - Avenue Verte London - Paris, de Therdonne à Clermont",https://www.af3v.org/les-voies-vertes/voies/410-v16a-avenue-verte-london-paris-de-therdonne-a-clermont,Beauvais,Clermont,21.6,Voie verte lisse,Route,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=2.161852,49.376242785960386,2.4133539765730263,49.419948&crs=EPSG:4326","('2.161852', '49.376242785960386')","('2.4133539765730263', '49.419948')","(2.287602988286513, 49.398095392980196)",0.93,Bord de route,64.21,55221.0,143,E
144,La Vigne à Vélo,https://www.af3v.org/les-voies-vertes/voies/113-la-vigne-a-velo,Les arcs,Chateaudouble,22.1,Voie verte lisse,Voies vertes (80%) - voies partagées (20 %),Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=6.419968645834898,43.45665722166526,6.51919258005199,43.57660288676957&crs=EPSG:4326","('6.419968645834898', '43.45665722166526')","('6.51919258005199', '43.57660288676957')","(6.469580612943444, 43.516630054217416)",0.9,Voie verte,113.07,97240.0,144,A
145,"EV5 - Via Romea Francigena / Voie Verte du canal de la Sarre, de Sarreguemines à Sarralbe",https://www.af3v.org/les-voies-vertes/voies/195-ev5-via-romea-francigena-voie-verte-du-canal-de-la-sarre-de-sarreguemines-a-sarralbe,Sarreguemines,Sarralbe,22.2,Voie verte lisse,Canal,Enrobé lisse,"https://sig.af3v.org/index.php/view/embed/?repository=rep1&project=veloroutes&bbox=7.030105921310613,49.002990165237,7.149332,49.099776&crs=EPSG:4326","('7.030105921310613', '49.002990165237')","('7.149332', '49.099776')","(7.089718960655307, 49.0513830826185)",0.9,Bord de rivière ou canal,73.39,63115.0,145,D
